ID,true_easting,true_northing,easting_off_grid3_se_corner,northing_off_grid3_se_corner
670,699411.0431,4150260.511,-40387.38291,52022.20783
674,691103.8002,4112196.3,-48694.62583,13957.9973
676,683067.932,4156541.072,-56730.49404,58302.76932
677,679822.5846,4148056.463,-59975.84143,49818.15961
679,723897.3918,4125343.572,-15901.0342,27105.2694
681,721633.1201,4125843.824,-18165.30591,27605.52144
682,683829.3945,4153336.24,-55969.03145,55097.93657
683,735376.005,4112042.238,-4422.420986,13803.93534
684,686606.0739,4133242.361,-53192.35207,35004.05786
685,668891.4805,4161271.665,-70906.94549,63033.36195
687,690375.9475,4154574.582,-49422.47851,56336.27936
689,698751.4715,4123732.919,-41046.9545,25494.616
690,706740.7546,4129103.996,-33057.67143,30865.69331
692,683702.7769,4160195.616,-56095.64913,61957.31281
695,658185.4768,4142472.018,-81612.94919,44233.71533
696,674398.6879,4156120.064,-65399.73814,57881.76133
698,668869.6379,4142167.93,-70928.78806,43929.62714
699,688635.5632,4165902.768,-51162.86278,67664.46491
700,663331.5678,4115996.12,-76466.8582,17757.81656
701,736281.992,4112042.944,-3516.434001,13804.64099
703,683208.8353,4154011.986,-56589.59066,55773.68289
705,652701.3926,4156856.538,-87097.03336,58618.23455
707,686348.2331,4151029.05,-53450.19291,52790.7471
709,712147.3001,4155285.64,-27651.12588,57047.33659
711,698728.3528,4123817.483,-41070.07323,25579.1803
712,687064.0067,4152582.42,-52734.41935,54344.11735
714,684950.0706,4124185.313,-54848.35539,25947.00984
716,723553.1718,4124376.96,-16245.25419,26138.6565
717,728082.9067,4111293.812,-11715.51934,13055.50918
718,684718.9308,4157732.747,-55079.49524,59494.44423
719,721327.3996,4124306.284,-18471.02641,26067.98134
720,720061.9435,4124124.024,-19736.48253,25885.72066
721,700404.5272,4134456.1,-39393.89885,36217.79745
722,668860.9487,4107770.86,-70937.47727,9532.557102
723,674701.9372,4147943.93,-65096.48884,49705.62708
724,702454.3456,4154182.881,-37344.08036,55944.57843
726,718016.0946,4108985.994,-21782.33137,10747.69126
728,686680.8422,4133109.835,-53117.58381,34871.53152
729,696588.9075,4134512.405,-43209.51854,36274.10166
732,704677.4906,4203699.094,-35120.93539,105460.7912
733,699350.3099,4150799.632,-40448.1161,52561.32934
734,694040.2669,4142285.94,-45758.15909,44047.63682
735,676976.6807,4147171.589,-62821.7453,48933.28617
738,670778.2059,4143468.078,-69020.22009,45229.77504
739,711906.5638,4104679.957,-27891.8622,6441.65423
740,702058.1071,4122175.825,-37740.31889,23937.52175
742,656469.0973,4152006.796,-83329.32872,53768.49265
743,724325.3907,4180801.009,-15473.03531,82562.70644
744,715539.1034,4123799.435,-24259.32263,25561.13166
745,655032.5796,4163046.224,-84765.84637,64807.9208
749,663216.8937,4136727.204,-76581.53235,38488.90122
752,694141.2404,4141957.615,-45657.18559,43719.31223
754,662993.9836,4165120.48,-76804.44238,66882.17721
755,708483.8519,4136260.92,-31314.57411,38022.6169
758,684008.2164,4146242.089,-55790.20957,48003.78592
760,673256.1102,4132905.498,-66542.31575,34667.1948
762,674206.2953,4157321.881,-65592.13073,59083.57847
764,667530.8463,4154865.157,-72267.57971,56626.85398
765,678009.3686,4161768.074,-61789.05738,63529.77051
767,703913.5429,4131276.182,-35884.88315,33037.87883
769,687888.9399,4172797.995,-51909.48608,74559.69176
772,681441.6624,4126237.81,-58356.76359,27999.50689
773,733546.4692,4116775.755,-6251.956802,18537.45176
775,663311.0823,4116573.272,-76487.34368,18334.96907
776,670028.0592,4138902.161,-69770.36677,40663.85783
777,684510.1015,4142221.774,-55288.32454,43983.47094
779,665140.3008,4175068.898,-74658.12516,76830.59476
781,680836.7814,4154508.23,-58961.64457,56269.92723
782,676561.136,4146186.205,-63237.28995,47947.90217
783,704355.1272,4124406.516,-35443.29879,26168.21259
785,670990.7376,4152207.935,-68807.68844,53969.63203
786,670694.041,4142972.536,-69104.38501,44734.23264
787,683065.8718,4154055.607,-56732.55419,55817.30351
788,698428.2479,4099966.795,-41370.1781,1728.491961
791,674533.4063,4154398.355,-65265.01969,56160.05217
792,689440.3607,4151776.863,-50358.06528,53538.5605
793,676512.6087,4161014.574,-63285.81726,62776.271
795,699191.3118,4114702.889,-40607.11424,16464.58552
796,671580.6022,4146255.522,-68217.82381,48017.21931
797,698376.79,4138937.19,-41421.63604,40698.8872
798,677278.1222,4145736.091,-62520.3038,47497.78761
799,712173.6126,4155958.008,-27624.8134,57719.70517
801,670826.9212,4142901.352,-68971.50481,44663.04888
803,694856.4427,4132064.871,-44941.9833,33826.56807
804,696910.386,4099011.711,-42888.03996,773.4080046
807,704877.0191,4124906.049,-34921.40695,26667.7465
808,702545.4195,4154640.868,-37253.00653,56402.56462
809,717479.774,4117918.788,-22318.65197,19680.4849
810,723657.8005,4122931.44,-16140.62549,24693.13731
811,674871.216,4158149.46,-64927.20998,59911.1566
812,678578.3136,4150037.535,-61220.11243,51799.23223
814,733145.0529,4108482.232,-6653.373088,10243.92885
817,721853.1342,4121010.595,-17945.29182,22772.29185
